>>> Hostname is uaf-10.t2.ucsd.edu
inputs : /home/users/joytzphysics//DYJETSbkg/output4.root

                                                                                                    
RooUtil:: Adding /home/users/joytzphysics//DYJETSbkg/output4.root

                                                                                                    
RooUtil:: Start EventLooping

                                                                                                    
RooUtil:: System info:
uaf-10.t2.ucsd.edu
Linux uaf-10.t2.ucsd.edu 5.14.13-1.el7.elrepo.x86_64 #1 SMP Fri Oct 15 13:26:13 EDT 2021 x86_64 x86_64 x86_64 GNU/Linux
Fri Jul 29 18:55:13 PDT 2022
joytzphysics
/home/users/joytzphysics/NanoLooper

                                                                                                    
RooUtil::  _

                                                                                                    
RooUtil:: /\\

                                                                                                    
RooUtil:: \ \\  \__/ \__/

                                                                                                    
RooUtil::  \ \\ (oo) (oo)  Here we come!

                                                                                                    
RooUtil::   \_\\/~~\_/~~\_

                                                                                                    
RooUtil::  _.-~===========~-._

                                                                                                    
RooUtil:: (___________________)

                                                                                                    
RooUtil::       \_______/

                                                                                                    
RooUtil:: 

                                                                                                    
RooUtil::  Your friendly aliens

                                                                                                    
RooUtil::      Surf & Turf

                                                                                                    
RooUtil:: 

                                                                                                    
RooUtil:: Total Events in this Chain to process = 96680

                                                                                                    
RooUtil:: TTreeCache enabled

                                                                                                    
RooUtil:: Looping /home/users/joytzphysics//DYJETSbkg/output4.root/TTree:Events
RooUtil:: \|....................| 0.4 % (433/96680) with  [199 Hz]   ETA 00:08:02         
RooUtil:: ||....................| 0.5 % (441/96680) with  [203 Hz]   ETA 00:07:53         
RooUtil:: /|....................| 0.5 % (452/96680) with  [208 Hz]   ETA 00:07:41         
RooUtil:: -|....................| 0.5 % (463/96680) with  [213 Hz]   ETA 00:07:30         
RooUtil:: \|....................| 0.5 % (474/96680) with  [218 Hz]   ETA 00:07:20         
RooUtil:: ||....................| 0.5 % (485/96680) with  [223 Hz]   ETA 00:07:10         
RooUtil:: /|....................| 0.5 % (496/96680) with  [228 Hz]   ETA 00:07:00         
RooUtil:: -|....................| 0.5 % (507/96680) with  [233 Hz]   ETA 00:06:51         
RooUtil:: \|....................| 0.5 % (518/96680) with  [238 Hz]   ETA 00:06:42         
RooUtil:: ||....................| 0.5 % (529/96680) with  [243 Hz]   ETA 00:06:34         
RooUtil:: /|....................| 0.6 % (540/96680) with  [248 Hz]   ETA 00:06:26         
RooUtil:: -|....................| 0.6 % (551/96680) with  [253 Hz]   ETA 00:06:18         
RooUtil:: \|....................| 0.6 % (562/96680) with  [258 Hz]   ETA 00:06:11         
RooUtil:: ||....................| 0.6 % (573/96680) with  [263 Hz]   ETA 00:06:04         
RooUtil:: /|....................| 0.6 % (584/96680) with  [268 Hz]   ETA 00:05:57         
RooUtil:: -|....................| 0.6 % (595/96680) with  [273 Hz]   ETA 00:05:50         
RooUtil:: \|....................| 0.6 % (606/96680) with  [279 Hz]   ETA 00:05:44         
RooUtil:: ||....................| 0.6 % (617/96680) with  [284 Hz]   ETA 00:05:38         
RooUtil:: /|....................| 0.6 % (628/96680) with  [289 Hz]   ETA 00:05:32         
RooUtil:: -|========............| 41.0 % (39621/96680) with  [7119 Hz]   ETA 00:00:08         
RooUtil:: \|========............| 41.2 % (39873/96680) with  [7111 Hz]   ETA 00:00:07         
RooUtil:: ||========............| 42.7 % (41268/96680) with  [7226 Hz]   ETA 00:00:07         
RooUtil:: /|========............| 43.4 % (41935/96680) with  [7209 Hz]   ETA 00:00:07         
RooUtil:: -|========............| 44.7 % (43261/96680) with  [7292 Hz]   ETA 00:00:07         
RooUtil:: \|=========...........| 45.3 % (43771/96680) with  [7223 Hz]   ETA 00:00:07         
RooUtil:: ||=========...........| 46.3 % (44796/96680) with  [7362 Hz]   ETA 00:00:07         
RooUtil:: /|=========...........| 47.2 % (45664/96680) with  [7402 Hz]   ETA 00:00:06         
RooUtil:: -|=========...........| 47.5 % (45912/96680) with  [7283 Hz]   ETA 00:00:06         
RooUtil:: \|=========...........| 48.2 % (46625/96680) with  [7377 Hz]   ETA 00:00:06         
RooUtil:: ||=========...........| 48.9 % (47233/96680) with  [7410 Hz]   ETA 00:00:06         
RooUtil:: /|=========...........| 49.1 % (47457/96680) with  [7440 Hz]   ETA 00:00:06         
RooUtil:: -|=========...........| 49.3 % (47649/96680) with  [7464 Hz]   ETA 00:00:06         
RooUtil:: \|=========...........| 49.4 % (47777/96680) with  [7374 Hz]   ETA 00:00:06         
RooUtil:: ||==========..........| 50.3 % (48676/96680) with  [7485 Hz]   ETA 00:00:06         
RooUtil:: /|==========..........| 51.1 % (49435/96680) with  [7471 Hz]   ETA 00:00:06         
RooUtil:: -|==========..........| 52.6 % (50831/96680) with  [7516 Hz]   ETA 00:00:06         
RooUtil:: \|==========..........| 52.9 % (51137/96680) with  [7553 Hz]   ETA 00:00:06         
RooUtil:: ||==========..........| 53.1 % (51375/96680) with  [7572 Hz]   ETA 00:00:05         
RooUtil:: /|==========..........| 53.3 % (51511/96680) with  [7436 Hz]   ETA 00:00:06         
RooUtil:: -|==========..........| 53.9 % (52081/96680) with  [7510 Hz]   ETA 00:00:05         
RooUtil:: \|==========..........| 54.4 % (52606/96680) with  [7575 Hz]   ETA 00:00:05         
RooUtil:: ||==========..........| 54.9 % (53061/96680) with  [7599 Hz]   ETA 00:00:05         
RooUtil:: /|===========.........| 55.0 % (53201/96680) with  [7616 Hz]   ETA 00:00:05         
RooUtil:: -|===========.........| 55.2 % (53341/96680) with  [7633 Hz]   ETA 00:00:05         
RooUtil:: \|===========.........| 55.3 % (53446/96680) with  [7646 Hz]   ETA 00:00:05         
RooUtil:: ||===========.........| 55.4 % (53551/96680) with  [7647 Hz]   ETA 00:00:05         
RooUtil:: /|===========.........| 57.0 % (55081/96680) with  [7667 Hz]   ETA 00:00:05         
RooUtil:: -|===========.........| 57.1 % (55225/96680) with  [7684 Hz]   ETA 00:00:05         
RooUtil:: \|===========.........| 57.2 % (55333/96680) with  [7696 Hz]   ETA 00:00:05         
RooUtil:: ||===========.........| 57.3 % (55441/96680) with  [7678 Hz]   ETA 00:00:05         
RooUtil:: /|===========.........| 58.8 % (56833/96680) with  [7739 Hz]   ETA 00:00:05         
RooUtil:: -|===========.........| 59.2 % (57277/96680) with  [7757 Hz]   ETA 00:00:05         
RooUtil:: \|===========.........| 59.4 % (57425/96680) with  [7774 Hz]   ETA 00:00:05         
RooUtil:: ||===========.........| 59.5 % (57536/96680) with  [7786 Hz]   ETA 00:00:05         
RooUtil:: /|===========.........| 59.6 % (57647/96680) with  [7799 Hz]   ETA 00:00:05         
RooUtil:: -|===========.........| 59.7 % (57721/96680) with  [7807 Hz]   ETA 00:00:04         
RooUtil:: \|===========.........| 59.8 % (57795/96680) with  [7698 Hz]   ETA 00:00:05         
RooUtil:: ||============........| 60.5 % (58521/96680) with  [7782 Hz]   ETA 00:00:04         
RooUtil:: /|============........| 61.2 % (59167/96680) with  [7827 Hz]   ETA 00:00:04         
RooUtil:: -|============........| 61.6 % (59509/96680) with  [7865 Hz]   ETA 00:00:04         
RooUtil:: \|============........| 61.9 % (59813/96680) with  [7817 Hz]   ETA 00:00:04         
RooUtil:: ||============........| 63.1 % (60997/96680) with  [7841 Hz]   ETA 00:00:04         
RooUtil:: /|============........| 63.3 % (61192/96680) with  [7863 Hz]   ETA 00:00:04         
RooUtil:: -|============........| 63.5 % (61348/96680) with  [7881 Hz]   ETA 00:00:04         
RooUtil:: \|============........| 63.6 % (61504/96680) with  [7898 Hz]   ETA 00:00:04         
RooUtil:: ||============........| 63.7 % (61621/96680) with  [7912 Hz]   ETA 00:00:04         
RooUtil:: /|============........| 63.9 % (61738/96680) with  [7924 Hz]   ETA 00:00:04         
RooUtil:: -|============........| 63.9 % (61816/96680) with  [7933 Hz]   ETA 00:00:04         
RooUtil:: \|============........| 64.0 % (61894/96680) with  [7941 Hz]   ETA 00:00:04         
RooUtil:: ||============........| 64.1 % (61972/96680) with  [7949 Hz]   ETA 00:00:04         
RooUtil:: /|============........| 64.1 % (62011/96680) with  [7953 Hz]   ETA 00:00:04         
RooUtil:: -|============........| 64.2 % (62050/96680) with  [7923 Hz]   ETA 00:00:04         
RooUtil:: \|=============.......| 65.6 % (63401/96680) with  [7973 Hz]   ETA 00:00:04         
RooUtil:: ||=============.......| 66.0 % (63801/96680) with  [8017 Hz]   ETA 00:00:04         
RooUtil:: /|=============.......| 66.4 % (64161/96680) with  [8030 Hz]   ETA 00:00:04         
RooUtil:: -|=============.......| 66.5 % (64281/96680) with  [8043 Hz]   ETA 00:00:04         
RooUtil:: \|=============.......| 66.6 % (64361/96680) with  [8051 Hz]   ETA 00:00:04         
RooUtil:: ||=============.......| 66.7 % (64441/96680) with  [8060 Hz]   ETA 00:00:03         
RooUtil:: /|=============.......| 66.7 % (64521/96680) with  [8069 Hz]   ETA 00:00:03         
RooUtil:: -|=============.......| 66.8 % (64561/96680) with  [8073 Hz]   ETA 00:00:03         
RooUtil:: \|=============.......| 66.8 % (64601/96680) with  [8077 Hz]   ETA 00:00:03         
RooUtil:: ||=============.......| 66.9 % (64641/96680) with  [8082 Hz]   ETA 00:00:03         
RooUtil:: /|=============.......| 66.9 % (64681/96680) with  [8086 Hz]   ETA 00:00:03         
RooUtil:: -|=============.......| 66.9 % (64721/96680) with  [8090 Hz]   ETA 00:00:03         
RooUtil:: \|=============.......| 67.0 % (64761/96680) with  [8087 Hz]   ETA 00:00:03         
RooUtil:: ||=============.......| 68.6 % (66339/96680) with  [8104 Hz]   ETA 00:00:03         
RooUtil:: /|=============.......| 68.7 % (66462/96680) with  [8116 Hz]   ETA 00:00:03         
RooUtil:: -|=============.......| 68.9 % (66585/96680) with  [8129 Hz]   ETA 00:00:03         
RooUtil:: \|=============.......| 69.0 % (66667/96680) with  [8137 Hz]   ETA 00:00:03         
RooUtil:: ||=============.......| 69.0 % (66749/96680) with  [8081 Hz]   ETA 00:00:03         
RooUtil:: /|==============......| 70.2 % (67915/96680) with  [8159 Hz]   ETA 00:00:03         
RooUtil:: -|==============......| 70.9 % (68545/96680) with  [8138 Hz]   ETA 00:00:03         
RooUtil:: \|==============......| 72.4 % (70005/96680) with  [8250 Hz]   ETA 00:00:03         
RooUtil:: ||==============......| 73.4 % (70994/96680) with  [8235 Hz]   ETA 00:00:03         
RooUtil:: /|===============.....| 75.0 % (72513/96680) with  [8224 Hz]   ETA 00:00:02         
RooUtil:: -|===============.....| 76.6 % (74026/96680) with  [8327 Hz]   ETA 00:00:02         
RooUtil:: \|===============.....| 77.5 % (74971/96680) with  [8306 Hz]   ETA 00:00:02         
RooUtil:: ||===============.....| 79.1 % (76453/96680) with  [8320 Hz]   ETA 00:00:02         
RooUtil:: /|===============.....| 79.2 % (76591/96680) with  [8332 Hz]   ETA 00:00:02         
RooUtil:: -|===============.....| 79.3 % (76683/96680) with  [8340 Hz]   ETA 00:00:02         
RooUtil:: \|===============.....| 79.4 % (76775/96680) with  [8349 Hz]   ETA 00:00:02         
RooUtil:: ||===============.....| 79.5 % (76821/96680) with  [8354 Hz]   ETA 00:00:02         
RooUtil:: /|===============.....| 79.5 % (76867/96680) with  [8358 Hz]   ETA 00:00:02         
RooUtil:: -|===============.....| 79.6 % (76913/96680) with  [8362 Hz]   ETA 00:00:02         
RooUtil:: \|===============.....| 79.6 % (76959/96680) with  [8367 Hz]   ETA 00:00:02         
RooUtil:: ||===============.....| 79.6 % (77005/96680) with  [8371 Hz]   ETA 00:00:02         
RooUtil:: /|===============.....| 79.7 % (77051/96680) with  [8375 Hz]   ETA 00:00:02         
RooUtil:: -|===============.....| 79.7 % (77097/96680) with  [8380 Hz]   ETA 00:00:02         
RooUtil:: \|===============.....| 79.8 % (77143/96680) with  [8384 Hz]   ETA 00:00:02         
RooUtil:: ||================....| 81.5 % (78820/96680) with  [8386 Hz]   ETA 00:00:02         
RooUtil:: /|================....| 81.6 % (78867/96680) with  [8391 Hz]   ETA 00:00:02         
RooUtil:: -|================....| 81.6 % (78914/96680) with  [8395 Hz]   ETA 00:00:02         
RooUtil:: \|================....| 81.7 % (78961/96680) with  [8399 Hz]   ETA 00:00:02         
RooUtil:: ||================....| 83.4 % (80641/96680) with  [8397 Hz]   ETA 00:00:01         
RooUtil:: /|=================...| 85.1 % (82321/96680) with  [8424 Hz]   ETA 00:00:01         
RooUtil:: -|=================...| 85.4 % (82566/96680) with  [8446 Hz]   ETA 00:00:01         
RooUtil:: \|=================...| 85.7 % (82811/96680) with  [8468 Hz]   ETA 00:00:01         
RooUtil:: ||=================...| 85.9 % (83007/96680) with  [8485 Hz]   ETA 00:00:01         
RooUtil:: /|=================...| 86.1 % (83203/96680) with  [8490 Hz]   ETA 00:00:01         
RooUtil:: -|=================...| 86.1 % (83252/96680) with  [8494 Hz]   ETA 00:00:01         
RooUtil:: \|=================...| 87.9 % (84951/96680) with  [8559 Hz]   ETA 00:00:01         
RooUtil:: ||=================...| 88.5 % (85601/96680) with  [8586 Hz]   ETA 00:00:01         
RooUtil:: /|=================...| 88.8 % (85901/96680) with  [8536 Hz]   ETA 00:00:01         
RooUtil:: -|==================..| 90.1 % (87109/96680) with  [8620 Hz]   ETA 00:00:01         
RooUtil:: \|==================..| 91.0 % (87976/96680) with  [8644 Hz]   ETA 00:00:01         
RooUtil:: ||==================..| 91.2 % (88180/96680) with  [8662 Hz]   ETA 00:00:00         
RooUtil:: /|==================..| 91.4 % (88384/96680) with  [8679 Hz]   ETA 00:00:00         
RooUtil:: -|==================..| 91.6 % (88537/96680) with  [8692 Hz]   ETA 00:00:00         
RooUtil:: \|==================..| 91.7 % (88690/96680) with  [8705 Hz]   ETA 00:00:00         
RooUtil:: ||==================..| 91.9 % (88843/96680) with  [8642 Hz]   ETA 00:00:00         
RooUtil:: /|==================..| 93.0 % (89909/96680) with  [8732 Hz]   ETA 00:00:00         
RooUtil:: -|==================..| 94.0 % (90845/96680) with  [8716 Hz]   ETA 00:00:00         
RooUtil:: \|===================.| 95.6 % (92433/96680) with  [8818 Hz]   ETA 00:00:00         
RooUtil:: ||===================.| 96.7 % (93493/96680) with  [8793 Hz]   ETA 00:00:00         
RooUtil:: /|===================.| 98.2 % (94987/96680) with  [8772 Hz]   ETA 00:00:00         
RooUtil:: -|===================.| 99.8 % (96526/96680) with  [8857 Hz]   ETA 00:00:00         

RooUtil::+|====================| 100.0 % (96680/96680) with  [avg. 8870 Hz]   Total Time: 00:00:10         

                                                                                                    
RooUtil:: 

                                                                                                    
RooUtil::    \__/    \__/

                                                                                                    
RooUtil::  S (oo)    (oo)

                                                                                                    
RooUtil:: (\//~~\\  //~~\\

                                                                                                    
RooUtil::  \/\__//  \\__//\T

                                                                                                    
RooUtil::    ||||    ||\\ Who cares!

                                                                                                    
RooUtil:: __ |||| __ |||| ___

                                                                                                    
RooUtil::   (_)(_)  (_)(_)

                                                                                                    
RooUtil:: 

------------------------------
CPU  Time:	9.0
Real Time:	9.1

